,Time,Replicate,Control,ALP
FR_0H_1,0,1,1,0
FR_0H_2,0,1,1,0
FR_0H_3,0,1,1,0
FR_0H_4,0,1,1,0
FR_0H_5,0,1,1,0
FR_0H_6,0,1,1,0
FR_3H_1,3,2,1,0
FR_3H_2,3,2,1,0
FR_3H_3,3,2,1,0
FR_12H_1,12,3,1,0
FR_12H_2,12,3,1,0
FR_12H_3,12,3,1,0
FR_24H_1,24,4,1,0
FR_24H_2,24,4,1,0
FR_24H_3,24,4,1,0
FR_48H_1,48,5,1,0
FR_48H_2,48,5,1,0
FR_48H_3,48,5,1,0
AL_0H_1,0,6,0,1
AL_0H_2,0,6,0,1
AL_0H_3,0,6,0,1
AL_0H_4,0,6,0,1
AL_0H_5,0,6,0,1
AL_0H_6,0,6,0,1
AL_3H_1,3,7,0,1
AL_3H_2,3,7,0,1
AL_3H_3,3,7,0,1
AL_12H_1,12,8,0,1
AL_12H_2,12,8,0,1
AL_12H_3,12,8,0,1
AL_24H_1,24,9,0,1
AL_24H_2,24,9,0,1
AL_24H_3,24,9,0,1
AL_48H_1,48,10,0,1
AL_48H_2,48,10,0,1
AL_48H_3,48,10,0,1